キーワード,検索語,動画本数,平均再生回数,全体との差（平均再生回数）,再生数の中央値,全体との差（再生数の中央値）,平均高評価数,全体との差（平均高評価数）,平均高評価率,全体との差（平均高評価率）,平均コメント率,全体との差（平均コメント率）
着物,和服,13,101354.46153846153,70823.53356062219,6370.0,2110.0,1732.4615384615386,1260.0294054975498,1.1827942950281272,-0.2684678582127229,0.056305887452035734,-0.09281499636225388
お菓子,糖果,5,81901.4,51370.472022160655,39341.0,35081.0,466.4,-6.032132963988943,0.8361621050980064,-0.6151000481428437,0.05103813482368206,-0.09808274899060757
スイーツ,甜點,7,52515.71428571428,21984.786307874947,16971.0,12711.0,792.1428571428571,319.7107241788682,1.384532445966105,-0.06672970727474503,0.1429669968560033,-0.006153886958286309
食べ歩き,小吃,13,40382.307692307695,9851.37971446836,4735.0,475.0,297.2307692307692,-175.2013637332197,0.9455216883184087,-0.5057404649224414,0.07806279676539409,-0.07105808704889553
神社,神社,136,37102.595588235294,6571.667610395958,6751.5,2491.5,534.6176470588235,62.185514094834616,1.4603364562710623,0.009074303030212283,0.1540577397559122,0.0049368559416225755
グルメ,美食,49,33103.42857142857,2572.500593589237,9411.0,5151.0,439.42857142857144,-33.003561535417475,1.5198313823213823,0.0685692290805322,0.17431772872490225,0.025196844910612637
川越,川越,357,30209.899159663866,-321.0288181754695,4260.0,0.0,470.47899159663865,-1.9531413673502698,1.4522600516887765,0.0009978984479264152,0.14901316746545595,-0.0001077163488336641
城,城,69,25776.72463768116,-4754.203340158176,2812.0,-1448.0,168.9855072463768,-303.4466257176121,1.5730760837213729,0.1218139304805228,0.11164277093122636,-0.037478112883063255
甘薯,サツマイモ,2,13011.0,-17519.927977839336,13011.0,8751.0,191.5,-280.9321329639889,1.2705287360661672,-0.18073341717468283,0.02749842866121936,-0.12162245515307026
寺,寺,53,12622.33962264151,-17908.588355197826,3174.0,-1086.0,154.26415094339623,-318.1679820205927,1.3774836068724878,-0.07377854636836223,0.10697283136863442,-0.0421480524456552
東京,东京,4,5132.25,-25398.677977839336,1737.0,-2523.0,100.75,-371.6821329639889,4.622218665687969,3.170956512447119,0.3523942045065722,0.2032733206922826
祭り,节日,2,3367.0,-27163.927977839336,3367.0,-893.0,24.5,-447.9321329639889,0.6173094582185491,-0.833952695022301,0.015304560759106214,-0.1338163230551834
江戸,江户,2,522.5,-30008.427977839336,522.5,-3737.5,3.5,-468.9321329639889,0.6050295857988166,-0.8462325674420335,0.0,-0.14912088381428962
日帰り,当天往返,0,,,,,,,,,,
観光,观光,0,,,,,,,,,,
