キーワード,検索語,動画本数,平均再生回数,全体との差（平均再生回数）,再生数の中央値,全体との差（再生数の中央値）,平均高評価数,全体との差（平均高評価数）,平均高評価率,全体との差（平均高評価率）,平均コメント率,全体との差（平均コメント率）
サツマイモ,potato,51,16401.50980392157,10324.518406072108,1044.0,569.0,356.2156862745098,221.15762175838074,4.19595861614554,0.43175121146181805,1.1035243077130978,0.17361469327882117
観光,sightseeing,22,13059.5,6982.508602150538,837.0,362.0,237.4090909090909,102.35102639296187,2.6574451807836668,-1.1067622239000552,0.773377334340058,-0.1565322800942187
スイーツ,sweet,68,11939.882352941177,5862.890955091714,893.0,418.0,224.02941176470588,88.97134724857685,4.0620457284362885,0.2978383237525666,1.1769979145069926,0.24708830007271598
お菓子,candy,16,11685.1875,5608.196102150538,656.5,181.5,240.0625,105.00443548387096,5.0586990085791825,1.2944916038954606,1.5197920523088204,0.5898824378745438
食べ歩き,"food walk, street food, food tour",46,11233.260869565218,5156.269471715756,1618.0,1143.0,298.4347826086956,163.3767180925666,4.14915603765612,0.3849486329723977,0.8103933859806424,-0.1195162284536343
東京近郊,from Tokyo,112,9636.55357142857,3559.5621735791083,1258.5,783.5,216.78571428571428,81.72764976958524,3.0084703777970936,-0.7557370268866284,0.8300918598869268,-0.09981775454734987
江戸,edo,147,9138.47619047619,3061.4847926267284,632.0,157.0,174.25850340136054,39.200438885231506,3.7334422130670477,-0.030765191616674237,0.8829756384816337,-0.046933975952642926
日帰り,day trip,124,9017.524193548386,2940.532795698924,1143.5,668.5,189.31451612903226,54.25645161290322,3.3018469715080174,-0.4623604331757045,0.8793680401003459,-0.050541574333930805
グルメ,food,127,6670.007874015748,593.0164761662854,745.0,270.0,153.5748031496063,18.516738633477274,3.9017944414583083,0.1375870367745864,0.8663680413387436,-0.0635415730955331
神社,shrine,72,6386.513888888889,309.5224910394263,365.0,-110.0,146.84722222222223,11.789157706093192,4.061741981128628,0.2975345764449058,1.2710337614715077,0.34112414703723104
川越,kawagoe,270,6042.57037037037,-34.42102747909212,553.0,78.0,127.0962962962963,-7.961768219832734,3.5980036991044884,-0.16620370557923358,0.7592151210944234,-0.17069449333985331
着物,kimono,15,5401.0,-675.9913978494624,568.0,93.0,20.2,-114.85806451612903,1.772931696688952,-1.99127570799477,1.6923626973243069,0.7624530828900302
城,castle,29,2955.793103448276,-3121.1982944011866,113.0,-362.0,40.206896551724135,-94.85116796440491,3.1779731573579535,-0.5862342473257685,0.6355746903328039,-0.2943349241014728
祭り,festival,29,2749.344827586207,-3327.6465702632554,1077.0,602.0,60.93103448275862,-74.12703003337042,3.2327482113730666,-0.5314591933106554,1.355504674397325,0.42559505996304825
寺,temple,52,2401.423076923077,-3675.5683209263852,145.5,-329.5,49.44230769230769,-85.61575682382134,4.827708691736124,1.0635012870524019,1.7027316858200545,0.7728220713857779
