キーワード,動画本数,平均再生回数,全体との差（平均再生回数）,再生数の中央値,全体との差（再生数の中央値）,平均高評価数,全体との差（平均高評価数）,平均高評価率,全体との差（平均高評価率）,平均コメント率,全体との差（平均コメント率）
着物,9,230450.5556,203075.3764,35491,31993,4535,4155.22449,1.628309429,0.419764208,0.016375582,-0.12519331
食べ歩き,79,53996.21519,26621.03605,6663,3165,1027.772152,647.9966417,1.343421311,0.13487609,0.123870636,-0.017698256
東京,65,53869.09231,26493.91317,18733,15235,517.4461538,137.6706436,1.31604831,0.10750309,0.166271243,0.02470235
グルメ,100,42341.48,14966.30086,6598.5,3100.5,728.23,348.4544898,1.228074128,0.019528908,0.157984209,0.016415317
神社,122,42024.66393,14649.4848,6756,3258,607.6721311,227.8966209,1.380359829,0.171814608,0.155877794,0.014308901
観光,154,37853.3961,10478.21697,5738.5,2240.5,685.2207792,305.445269,1.193042281,-0.01550294,0.131702924,-0.009865968
川越,437,27579.22654,204.0474063,3524,26,382.5606407,2.785130528,1.19866526,-0.00987996,0.141856222,0.00028733
城,76,22807.30263,-4567.876507,1410,-2088,143.2894737,-236.4860365,1.392887035,0.184341815,0.086993621,-0.054575272
菓子,61,22542.70492,-4832.47422,8818,5320,192.8032787,-186.9722315,1.228752469,0.020207249,0.139258652,-0.00231024
日帰り,28,21438.78571,-5936.393424,8161.5,4663.5,278.6071429,-101.1683673,1.137206599,-0.071338621,0.119675979,-0.021892913
江戸,196,19727.34184,-7647.837302,4008.5,510.5,251.1938776,-128.5816327,1.244494358,0.035949137,0.118951336,-0.022617557
スイーツ,22,16239.27273,-11135.90641,4895.5,1397.5,136.4545455,-243.3209647,1.138815242,-0.069729978,0.104503798,-0.037065095
祭り,36,9921.472222,-17453.70692,2806.5,-691.5,118.6388889,-261.1366213,1.74319334,0.53464812,0.12835745,-0.013211442
サツマイモ,3,9827.666667,-17547.51247,3470,-28,135,-244.7755102,1.058529009,-0.150016212,0.018338769,-0.123230123
寺,65,8600.876923,-18774.30222,1051,-2447,106.3076923,-273.4678179,1.327732789,0.119187568,0.067448642,-0.07412025
