キーワード,検索語,動画本数,平均再生回数,全体との差（平均再生回数）,再生数の中央値,全体との差（再生数の中央値）,平均高評価数,全体との差（平均高評価数）,平均高評価率,全体との差（平均高評価率）,平均コメント率,全体との差（平均コメント率）
サツマイモ,고구마,31,9219.225806451614,1622.2924731182802,670.0,36.0,86.0,-60.70967741935485,2.358994770706236,-0.5009363239183835,0.6260824638047022,-0.21367446808510504
東京近郊,도쿄 근교,66,8118.80303030303,521.8696969696966,657.5,23.5,106.95454545454545,-39.755131964809394,2.6014830987885333,-0.25844799583608635,0.664827950186309,-0.17492898170349824
グルメ,"맛집, 미식가",60,7436.85,-160.08333333333303,620.5,-13.5,145.6,-1.1096774193548526,2.4889691616187766,-0.3709619330058431,0.6650384792518803,-0.17471845263792696
江戸,에도,113,7071.539823008849,-525.3935103244839,491.0,-143.0,103.76106194690266,-42.94861547245219,3.5343361597579834,0.6744050651333637,1.909404582729698,1.0696476508398907
日帰り,당일치기,36,6239.388888888889,-1357.5444444444447,713.0,79.0,122.33333333333333,-24.37634408602152,2.269104516377024,-0.5908265782475959,0.5547811532836002,-0.28497577860620704
川越,"가와고에, 카와고에",258,4585.6821705426355,-3011.251162790698,502.5,-131.5,62.18217054263566,-84.52750687671919,3.0011221463501907,0.141191051725571,1.3272272473267634,0.4874703154369562
お菓子,과자,23,4485.04347826087,-3111.8898550724634,596.0,-38.0,67.34782608695652,-79.36185133239833,2.123592077219132,-0.7363390174054878,0.6592311526021122,-0.1805257792876951
着物,기모노,7,4390.428571428572,-3206.504761904762,781.0,147.0,114.42857142857143,-32.281105990783416,2.555851576591736,-0.3040795180328839,0.6673506513557648,-0.1724062805340425
神社,신사,48,2738.8125,-4858.120833333333,560.0,-74.0,44.333333333333336,-102.3763440860215,3.308431475880614,0.44850038125599445,2.3734237583284408,1.5336668264386335
食べ歩き,"먹거리, 길거리 음식, 먹방",32,2106.84375,-5490.089583333333,671.5,37.5,40.625,-106.08467741935485,2.237119340205708,-0.6228117544189118,0.7023626412847704,-0.13739429060503683
観光,"관광, 관광지, 관광 명소",31,1834.3548387096773,-5762.578494623656,508.0,-126.0,23.193548387096776,-123.51612903225808,2.352587378653487,-0.5073437159711327,0.4436473563812726,-0.39610957550853465
スイーツ,"디저트, 후식, 스위츠",7,320.2857142857143,-7276.647619047619,244.0,-390.0,3.142857142857143,-143.5668202764977,1.3638543616207015,-1.4960767330039182,0.15781793789480425,-0.681938993995003
